ID	source_count	listitem_count	boldtitle_count	interviewquote_count	numberedrow_count	paragraph_count	uniq_MIES	uniq_NAINEN	uniq_NETTISIVU	uniq_JULKAISU	uniq_YLIOPISTO	uniq_SAIRAALA	uniq_YRITYS	uniq_VIRASTO	uniq_JARJESTO	uniq_TUOTE	uniq_TUTKIMUS
ID076	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ID077	0	8	0	0	0	21	2	1	0	0	0	0	0	3	0	0	0
ID078	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	2	0
ID079	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ID080	0	0	0	0	0	8	0	0	0	0	1	0	0	0	1	0	0
ID081	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ID082	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0
ID083part1of2	0	0	10	0	0	38	0	0	0	0	0	0	0	0	0	0	0
ID083part2of2	0	0	6	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ID084	0	0	6	0	0	25	0	0	0	0	0	0	0	0	0	0	0
ID085	0	20	5	0	0	39	0	0	0	0	0	0	0	0	0	0	0
ID086	0	11	4	0	0	30	0	0	0	0	0	0	0	0	0	0	0
ID087	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0
ID088	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ID089	0	11	2	0	0	21	0	0	0	0	0	0	0	0	0	0	0
ID091	2	0	0	0	0	8	2	0	0	2	2	0	0	0	0	0	0
ID092	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
ID093part1of5	1	0	0	0	0	11	3	1	2	3	3	0	0	1	0	0	0
ID093part2of5	0	0	0	0	0	11	8	1	3	0	1	0	0	0	1	0	0
ID093part3of5	3	0	0	0	0	7	1	0	0	0	1	0	0	0	0	0	0
ID093part4of5	7	0	0	0	0	8	2	0	0	0	1	0	0	0	0	0	0
ID093part5of5	3	0	0	0	0	5	0	0	0	0	2	0	0	0	0	1	0
ID094	0	0	3	0	0	18	0	0	0	0	0	0	0	0	0	0	0
ID095	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0
ID096	0	14	3	0	0	27	0	0	0	0	0	0	0	0	0	0	0
ID097	0	6	5	0	0	29	0	0	0	0	0	0	0	0	0	1	0
ID098	0	0	3	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ID099	0	0	4	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ID100	0	0	3	0	0	19	0	0	0	0	0	0	0	0	0	0	1
ID101	0	0	7	0	0	20	0	0	0	0	0	0	0	0	0	0	0
ID102	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0
ID103	12	0	4	0	0	18	0	0	0	0	0	0	0	0	0	0	0
ID104	0	7	8	0	0	27	0	0	0	0	0	0	0	0	0	0	0
ID105	0	0	4	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ID106	0	0	5	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ID107	11	0	4	0	0	30	1	4	0	1	0	0	0	0	0	0	3
ID108	0	9	0	0	0	32	0	0	1	0	0	0	0	1	0	1	1
ID109	2	0	7	0	0	27	0	0	0	0	0	0	0	0	0	1	0
ID110	3	0	4	0	2	34	0	0	1	0	0	0	0	1	2	2	0
ID111	0	0	3	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ID112	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ID113	0	0	7	0	0	50	0	1	1	0	0	0	0	0	0	0	0
ID114	11	0	3	0	0	18	0	0	0	0	0	0	0	0	0	0	0
ID115	1	0	5	2	5	18	1	2	1	0	3	0	0	1	0	0	0
ID116	0	0	5	0	0	20	0	0	0	0	0	0	0	1	0	0	1
ID117	0	0	3	0	0	11	0	0	0	0	0	0	0	0	0	0	0
ID118	0	0	5	0	0	14	0	0	0	0	1	0	0	0	0	0	0
ID119	0	0	3	0	0	15	0	0	0	0	0	0	0	0	0	0	0
ID120	0	0	3	0	0	14	0	0	0	0	0	0	0	1	0	0	0
ID121	0	0	3	0	3	18	0	0	0	0	0	0	0	0	0	2	0
ID122	0	0	5	0	0	20	0	0	0	0	0	0	0	1	0	0	1
ID123	0	0	1	0	0	12	0	2	1	0	0	0	0	0	0	0	0
ID124	3	0	3	0	0	12	0	0	1	0	1	0	0	0	0	0	0
ID125	0	0	5	0	0	23	0	1	0	0	1	0	0	0	0	0	0
ID127	0	0	8	0	0	20	0	0	0	0	0	0	0	1	0	0	0
ID128	0	0	3	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ID129	0	0	2	3	0	19	1	0	0	0	1	0	0	0	0	0	0
ID130	3	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0
ID131	0	0	3	0	0	14	0	0	0	0	1	0	0	0	1	0	1
ID132	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ID133	1	0	0	0	0	7	0	0	0	1	1	0	0	0	0	0	0
ID134	0	0	2	0	0	12	0	0	0	0	0	0	1	0	0	2	0
ID135	0	0	5	0	0	24	0	0	0	0	0	0	0	0	0	0	0
ID136	1	0	4	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ID137part1of2	0	0	2	0	0	8	1	1	0	0	1	0	1	0	0	0	0
ID137part2of2	0	0	2	0	0	10	1	0	0	0	0	0	1	1	0	0	0
ID138	0	5	2	0	0	16	0	0	0	0	0	0	1	0	0	3	0
ID139	0	0	0	0	0	19	0	0	0	0	0	0	1	0	0	1	0
ID141	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0
ID142	0	0	0	0	1	10	0	0	1	0	0	0	0	0	1	0	0
ID143	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0
ID144	0	0	7	0	0	35	0	0	0	0	0	0	0	0	0	0	0
ID145	2	4	3	0	0	31	4	0	0	1	1	0	0	1	0	0	0
ID146	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
ID147part1of2	2	12	0	0	0	33	1	1	0	1	1	0	0	0	2	1	0
ID147part2of2	3	0	1	0	0	11	1	1	2	1	1	0	0	1	0	0	0
ID148	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ID149	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ID150	0	0	6	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ID151	1	0	0	0	0	11	4	2	3	1	1	0	0	1	0	0	1
ID152part1of2	3	0	0	0	0	4	3	0	0	1	0	0	0	1	0	0	0
ID152part2of2	4	0	0	0	0	14	5	0	0	0	1	0	2	0	0	1	0
